sample_index,distance
130,1064.5026242938104
131,1063.2408099214956
132,1061.9917432686468
133,1060.7456367804095
134,1059.435943466938
135,1057.9143216436814
136,1056.2005263647145
137,1054.3302759308137
138,1052.403289039425
139,1050.5136420127778
140,1048.769891756639
141,1047.2392313732655
142,1045.9160059626622
143,1044.681013696631
144,1043.4323701048063
145,1042.16986692577
146,1040.90697631719
147,1039.6574646886706
148,1038.4113064630303
149,1037.1070705663155
150,1035.6005579562661
151,1033.8848167732394
152,1032.0553801409872
153,1030.2839575472988
154,1028.5895867938525
155,1026.8304966742596
156,1024.9677027591263
157,1023.0624471255497
158,1021.1670195895979
159,1019.2768661857259
160,1017.385100327322
161,1015.4938559361154
162,1013.6086031058505
163,1011.7228835535174
164,1009.7287759817809
165,1007.6521210664125
166,1005.6529253733408
167,1003.7828981684988
168,1001.847941965992
169,999.694371332253
170,997.4242025080284
171,995.2931277117052
172,993.3209566088741
173,991.470617382715
174,989.5979572239495
175,987.6989754330355
176,985.8109674854435
177,983.9379619391045
178,982.021408058369
179,979.9511039814298
180,977.6881294002967
181,975.2006896595595
182,972.6462664807474
183,970.1250116736973
184,968.0001411911055
185,966.6326077348906
186,966.0642956169704
187,966.2186063838069
188,966.994951943632
189,967.4394404474134
190,967.5818879863289
191,967.6572475287936
192,968.0394138533375
193,968.7286868324611
194,969.3072932665661
195,969.241612105012
196,968.4758975881595
197,967.1458509004473
198,965.7729262768337
199,964.8357449359895
200,964.3568773363445
201,964.2666696995541
202,964.3840215416438
203,964.567339904909
204,964.8159882258124
205,965.2119145127638
206,965.8461284609502
207,966.6701280840326
208,967.6897321668199
209,968.9279670090194
210,970.3486737479606
211,971.7224932245767
212,973.0055362511332
213,974.499241083782
214,976.3192904904299
215,978.4803586609689
216,980.7006689996922
217,982.867716223981
218,985.1779258152716
219,987.6749391352803
220,990.0955905979511
221,992.2121167371984
222,994.1780509452262
223,996.3271009792893
224,998.6939969881328
225,1001.0943816345173
226,1003.3253770842119
227,1005.2767203302077
228,1006.9896089626485
229,1008.4616130754221
230,1009.6615653782211
231,1010.7721534033432
232,1011.9094942547506
233,1013.1155940565624
234,1014.4076897228623
235,1015.8402395991633
236,1017.5233424003073
237,1019.5499931162329
238,1021.8590666884493
239,1024.3157650415658
240,1026.8692465323534
241,1029.516385828461
242,1032.2791656568959
243,1035.1575397093495
244,1038.128923458966
245,1041.1924092394822
246,1044.3259791798637
247,1047.475478056376
248,1050.6249518586214
249,1053.7734705550122
250,1056.9229273466385
251,1060.072451749769
252,1063.2212483301498
253,1066.370540339989
254,1069.5201102511446
255,1072.6696911500562
256,1075.8192955164432
257,1078.9889686394047
258,1082.0837720026202
259,1085.0739467496207
260,1088.0707278118125
261,1091.177533841936
262,1094.3320940157905
263,1097.5180227448996
264,1100.8377532227912
265,1104.3236349091408
266,1107.892601569128
267,1111.5095005719347
268,1115.2051435952048
269,1118.9840125745511
270,1122.7792781144362
271,1126.5621143135716
272,1130.3434840028367
273,1134.1254583963987
274,1137.9074512251138
275,1141.6894421714235
276,1145.4704440159073
277,1149.2524394034297
278,1153.0344405931778
279,1156.8258531443385
280,1160.5956512501891
281,1164.2896443645334
282,1167.9759984229677
283,1171.7210939115714
284,1175.5146363755796
285,1179.2970914846317
286,1183.0789260544966
287,1186.8618505648087
288,1190.6444318412355
289,1194.4268836801941
290,1198.2086784683047
291,1201.991701669614
292,1205.7732434482518
293,1209.5574382503494
294,1213.3456214372827
295,1217.133404312938
296,1220.9170145182234
297,1224.6989809965962
298,1228.4816303305756
299,1232.2633284554074
